INCENDIE,Fire
Incendie,Fire
INCENDIE DE FORET,Forest Fire
INCENDIE DE FORÊT,Forest Fire
INCENDIE DU FÔRET,Forest Fire
Incendies,Fire
Incendio,Fire
INCENDIO,Fire
INCÊNDIO,Fire
Incendio de campo,Field Fire
Incendio de interfase,Fire
Incendio estructural,Structural Fire
Incendio forestal,Forest Fire
Incendio urbano,Urban Fire
Incendios forestales,Forest Fire
Infestation acridienne,Acridine Infestation
Infestation aviaire,Avian Infestation
Innondation,Flood
INONDATION,Flood
Inondation,Flood
Inondations,Flood
Inspección,Inspection
INTERVENTION EN MER,Intervention at Sea
Intoxicación,Intoxication
Intoxicado,Intoxication
INTOXICATION,Intoxication
INUNDAÇÃO,Flood
Inundación,Flood
INUNDACIÓN,Flood
Inundación gradual,Gradual Flooding
Inundación repentina,Flash Flood
INUNDASAUN,Flooding
Inundation,Inundation
INVASION ACRIDIENNE,Acridine Infestation
INVASION D'OISEAUX GRANIVORES,Granivorous Bird Invasion